office_from_id,route_id,timestamp,horizon,vehicle_type,vehicles_count,demand_new,demand_carried_over,total_available,actually_shipped,leftover_stock,empty_capacity_units,cost_fixed,cost_underload,cost_wait,cost_total
4,29,2025-03-13 11:00:00,A: now,truck_m,2,150.00,0.00,150.00,140.00,10.00,0.00,2850.00,0.00,9600.00,12450.00
4,29,2025-03-13 11:00:00,A: now,truck_l,1,150.00,0.00,150.00,140.00,10.00,0.00,2850.00,0.00,9600.00,12450.00
4,29,2025-03-13 11:00:00,B: +2h,none,0,37.99,10.00,47.99,0.00,47.99,0.00,0.00,0.00,46069.11,46069.11
4,29,2025-03-13 11:00:00,C: +4h,none,0,34.73,47.99,82.72,0.00,82.72,0.00,0.00,0.00,79414.51,79414.51
4,29,2025-03-13 11:00:00,D: +6h,none,0,42.81,82.72,125.54,0.00,125.54,0.00,0.00,0.00,120515.49,120515.49
4,642,2025-03-13 11:00:00,A: now,none,0,150.00,0.00,150.00,0.00,150.00,0.00,0.00,0.00,144000.00,144000.00
4,642,2025-03-13 11:00:00,B: +2h,none,0,1.31,150.00,151.31,0.00,151.31,0.00,0.00,0.00,145254.15,145254.15
4,642,2025-03-13 11:00:00,C: +4h,none,0,6.87,151.31,158.18,0.00,158.18,0.00,0.00,0.00,151849.16,151849.16
4,642,2025-03-13 11:00:00,D: +6h,none,0,8.16,158.18,166.34,0.00,166.34,0.00,0.00,0.00,159687.36,159687.36
4,930,2025-03-13 11:00:00,A: now,none,0,150.00,0.00,150.00,0.00,150.00,0.00,0.00,0.00,144000.00,144000.00
4,930,2025-03-13 11:00:00,B: +2h,none,0,34.70,150.00,184.70,0.00,184.70,0.00,0.00,0.00,177313.02,177313.02
4,930,2025-03-13 11:00:00,C: +4h,none,0,29.83,184.70,214.53,0.00,214.53,0.00,0.00,0.00,205949.13,205949.13
4,930,2025-03-13 11:00:00,D: +6h,none,0,36.47,214.53,251.00,0.00,251.00,0.00,0.00,0.00,240959.63,240959.63
4,949,2025-03-13 11:00:00,A: now,none,0,150.00,0.00,150.00,0.00,150.00,0.00,0.00,0.00,144000.00,144000.00
4,949,2025-03-13 11:00:00,B: +2h,none,0,3.57,150.00,153.57,0.00,153.57,0.00,0.00,0.00,147423.11,147423.11
4,949,2025-03-13 11:00:00,C: +4h,none,0,21.79,153.57,175.35,0.00,175.35,0.00,0.00,0.00,168339.55,168339.55
4,949,2025-03-13 11:00:00,D: +6h,none,0,19.89,175.35,195.25,0.00,195.25,0.00,0.00,0.00,187436.68,187436.68
4,830,2025-03-13 11:00:00,A: now,gazelle_s,5,150.00,0.00,150.00,90.00,60.00,0.00,3000.00,0.00,57600.00,60600.00
4,830,2025-03-13 11:00:00,B: +2h,none,0,36.38,60.00,96.38,0.00,96.38,0.00,0.00,0.00,92520.83,92520.83
4,830,2025-03-13 11:00:00,C: +4h,none,0,31.36,96.38,127.74,0.00,127.74,0.00,0.00,0.00,122626.77,122626.77
4,830,2025-03-13 11:00:00,D: +6h,none,0,38.07,127.74,165.80,0.00,165.80,0.00,0.00,0.00,159170.72,159170.72
4,193,2025-03-13 11:00:00,A: now,gazelle_l,4,150.00,0.00,150.00,144.00,6.00,0.00,3600.00,0.00,5760.00,9360.00
4,193,2025-03-13 11:00:00,A: now,truck_m,1,150.00,0.00,150.00,144.00,6.00,0.00,3600.00,0.00,5760.00,9360.00
4,193,2025-03-13 11:00:00,B: +2h,none,0,0.36,6.00,6.36,0.00,6.36,0.00,0.00,0.00,6104.21,6104.21
4,193,2025-03-13 11:00:00,C: +4h,none,0,3.30,6.36,9.66,0.00,9.66,0.00,0.00,0.00,9275.50,9275.50
4,193,2025-03-13 11:00:00,D: +6h,none,0,2.92,9.66,12.58,0.00,12.58,0.00,0.00,0.00,12081.14,12081.14
4,183,2025-03-13 11:00:00,A: now,truck_l,1,150.00,0.00,150.00,60.00,90.00,0.00,1050.00,0.00,86400.00,87450.00
4,183,2025-03-13 11:00:00,B: +2h,none,0,1.60,90.00,91.60,0.00,91.60,0.00,0.00,0.00,87936.17,87936.17
4,183,2025-03-13 11:00:00,C: +4h,none,0,5.02,91.60,96.62,0.00,96.62,0.00,0.00,0.00,92753.22,92753.22
4,183,2025-03-13 11:00:00,D: +6h,none,0,5.90,96.62,102.52,0.00,102.52,0.00,0.00,0.00,98418.20,98418.20
